TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/01/16
TIME	13:01:32
SPECTROMETER/DATA SYSTEM	JASCO Corp., FP-8500, Rev. 1.00
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  285.0000
LASTX	  500.0000
NPOINTS	     216
FIRSTY	    67.37332
MAXY	   138.86488
MINY	    -4.98735
XYDATA
	10	110
285	67.3733	68.3711
286	42.2742	42.9698
287	21.6675	21.88
288	11.4992	11.6558
289	9.79579	9.95837
290	11.7479	11.9369
291	14.6969	14.8934
292	17.8138	17.9801
293	20.9216	21.0947
294	24.046	24.1589
295	27.1269	27.1753
296	30.2208	30.1909
297	33.2454	33.1651
298	36.2491	36.1122
299	39.2579	39.0623
300	42.2042	42.0379
301	45.07	45.0181
302	47.9955	47.95
303	50.8572	50.8166
304	53.7287	53.7627
305	56.7343	56.7233
306	59.7114	59.7086
307	62.672	62.7397
308	65.7357	65.8053
309	68.9673	68.8583
310	72.1627	71.9921
311	75.2854	75.1226
312	78.5061	78.2763
313	81.7982	81.3363
314	85.0387	84.5336
315	88.3823	87.7887
316	91.7121	91.0886
317	95.0914	94.3907
318	98.4695	97.7567
319	101.931	101.107
320	105.35	104.362
321	108.679	107.685
322	111.809	110.972
323	114.875	114.06
324	117.834	116.98
325	120.585	119.813
326	123.098	122.378
327	125.569	124.841
328	127.77	127.247
329	129.847	129.3
330	131.856	131.117
331	133.527	132.856
332	135.014	134.315
333	136.234	135.6
334	137.261	136.66
335	138.024	137.431
336	138.672	137.888
337	138.865	138.211
338	138.811	138.382
339	138.508	138.12
340	138.121	137.734
341	137.47	137.052
342	136.649	136.321
343	135.712	135.409
344	134.535	134.3
345	133.362	133.064
346	132.165	131.705
347	130.737	130.235
348	129.224	128.525
349	127.571	126.872
350	125.989	125.168
351	124.174	123.218
352	122.11	121.206
353	120.067	119.237
354	117.832	117.134
355	115.597	114.954
356	113.276	112.674
357	110.843	110.364
358	108.441	107.856
359	105.924	105.332
360	103.467	102.852
361	100.874	100.308
362	98.2555	97.6551
363	95.6133	94.9887
364	93.0599	92.3692
365	90.5363	89.7976
366	87.8675	87.1636
367	85.2601	84.5485
368	82.5815	81.9781
369	79.9905	79.3657
370	77.4363	76.9127
371	74.9806	74.4228
372	72.4229	71.9935
373	69.9349	69.6038
374	67.5304	67.1743
375	65.182	64.8706
376	62.909	62.5385
377	60.7202	60.346
378	58.5116	58.1039
379	56.366	55.8669
380	54.2896	53.7679
381	52.2827	51.7034
382	50.2463	49.6875
383	48.2729	47.6945
384	46.3539	45.8018
385	44.4556	43.9605
386	42.713	42.0517
387	40.9383	40.4077
388	39.2254	38.7234
389	37.5626	37.1061
390	35.9723	35.503
391	34.4572	34.0438
392	32.9767	32.5438
393	31.5299	31.1523
394	30.1029	29.8128
395	28.7886	28.4378
396	27.4121	27.1499
397	26.1507	25.8673
398	24.9207	24.7002
399	23.7186	23.4738
400	22.5723	22.3321
401	21.4577	21.2794
402	20.432	20.2053
403	19.3496	19.2273
404	18.3698	18.2223
405	17.4604	17.2773
406	16.5084	16.3211
407	15.6427	15.4575
408	14.8201	14.6364
409	14.012	13.8245
410	13.2177	13.0708
411	12.452	12.3284
412	11.7706	11.6208
413	11.0984	10.9472
414	10.4629	10.3183
415	9.77441	9.72133
416	9.2206	9.11446
417	8.6197	8.56404
418	8.07098	8.01567
419	7.55879	7.4689
420	7.07949	6.99492
421	6.58834	6.49809
422	6.10102	6.00663
423	5.6716	5.54517
424	5.25166	5.12581
425	4.81302	4.67678
426	4.41984	4.3075
427	4.06582	3.96703
428	3.71022	3.57408
429	3.35175	3.24659
430	3.02139	2.93382
431	2.68797	2.61828
432	2.37688	2.30925
433	2.09452	2.01294
434	1.80364	1.71551
435	1.51687	1.42588
436	1.21764	1.16921
437	0.955215	0.904287
438	0.716244	0.644209
439	0.489944	0.396564
440	0.228309	0.166881
441	0.00100284	-0.0489873
442	-0.221496	-0.252452
443	-0.429725	-0.450939
444	-0.623423	-0.671143
445	-0.808681	-0.869598
446	-1.00998	-1.04659
447	-1.19254	-1.20889
448	-1.36991	-1.36476
449	-1.53917	-1.56599
450	-1.70898	-1.74282
451	-1.85598	-1.90213
452	-2.01698	-2.04247
453	-2.16107	-2.17025
454	-2.30096	-2.32561
455	-2.42554	-2.46898
456	-2.54705	-2.63813
457	-2.6782	-2.76151
458	-2.80214	-2.87528
459	-2.9319	-2.99424
460	-3.03317	-3.10094
461	-3.18034	-3.21882
462	-3.28308	-3.32096
463	-3.40962	-3.42414
464	-3.51587	-3.49303
465	-3.59454	-3.55779
466	-3.69451	-3.64059
467	-3.76049	-3.69812
468	-3.81499	-3.75496
469	-3.89246	-3.83793
470	-3.93749	-3.90633
471	-3.99128	-3.96125
472	-4.05148	-4.02444
473	-4.10943	-4.09105
474	-4.1493	-4.14041
475	-4.19804	-4.20295
476	-4.26528	-4.26522
477	-4.31209	-4.31356
478	-4.37605	-4.36396
479	-4.40879	-4.42722
480	-4.45971	-4.49
481	-4.49218	-4.53243
482	-4.53241	-4.57023
483	-4.58657	-4.60844
484	-4.62055	-4.64892
485	-4.65778	-4.68032
486	-4.69045	-4.71559
487	-4.72355	-4.74532
488	-4.76382	-4.77594
489	-4.78472	-4.77774
490	-4.80443	-4.81252
491	-4.81597	-4.84859
492	-4.84747	-4.86773
493	-4.85898	-4.88516
