TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/01/16
TIME	13:10:24
SPECTROMETER/DATA SYSTEM	JASCO Corp., FP-8500, Rev. 1.00
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  285.0000
LASTX	  500.0000
NPOINTS	     216
FIRSTY	    47.59429
MAXY	   383.16571
MINY	    -4.12467
XYDATA
	10	110
285	47.5943	47.4546
286	33.0807	32.9933
287	22.0376	21.9759
288	18.5357	18.4226
289	21.1827	21.0267
290	26.5497	26.4035
291	32.8705	32.6568
292	39.5459	39.2302
293	46.3708	46.0518
294	53.2222	52.923
295	59.9779	59.786
296	66.7971	66.6969
297	73.6304	73.5902
298	80.5485	80.5257
299	87.4408	87.4903
300	94.423	94.6031
301	101.508	101.639
302	108.667	108.722
303	116.003	115.988
304	123.437	123.22
305	130.909	130.674
306	138.615	138.369
307	146.663	146.416
308	155.035	154.591
309	163.482	163.074
310	172.215	171.764
311	181.237	180.75
312	190.383	190.065
313	199.976	199.57
314	209.742	209.348
315	219.626	219.271
316	229.781	229.514
317	240.112	239.8
318	250.429	250.063
319	260.812	260.432
320	271.095	270.767
321	281.248	280.983
322	291.39	290.987
323	301.224	300.635
324	310.601	309.843
325	319.551	318.742
326	327.995	327.259
327	335.903	335.41
328	343.37	342.902
329	350.421	349.721
330	356.82	356.028
331	362.314	361.685
332	367.334	366.852
333	371.566	371.272
334	375.046	374.797
335	378.083	377.775
336	380.414	380.072
337	382.087	381.832
338	382.911	382.844
339	383.166	383.037
340	382.703	382.795
341	381.718	381.77
342	380.418	380.422
343	378.55	378.609
344	376.225	376.161
345	373.39	373.604
346	370.119	370.488
347	366.815	367.192
348	363.216	363.254
349	359.051	359.251
350	354.836	354.812
351	350.094	350.249
352	345.069	345.312
353	339.637	340.064
354	334.312	334.457
355	328.368	328.422
356	322.373	322.468
357	315.97	315.909
358	309.385	309.459
359	302.44	302.65
360	295.509	295.728
361	288.668	288.773
362	281.678	281.796
363	274.449	274.656
364	267.199	267.436
365	260.128	260.368
366	253.062	253.382
367	245.966	246.224
368	239.039	239.258
369	231.957	232.11
370	225.003	225.129
371	218.192	218.316
372	211.377	211.566
373	204.519	204.771
374	197.778	198.186
375	191.31	191.514
376	184.975	185.185
377	178.544	179.032
378	172.477	172.87
379	166.461	166.744
380	160.585	160.827
381	154.94	155.138
382	149.338	149.531
383	143.724	144.166
384	138.438	138.968
385	133.223	133.72
386	128.214	128.758
387	123.237	124.004
388	118.44	119.254
389	113.845	114.656
390	109.447	110.212
391	105.301	105.839
392	100.962	101.509
393	97.0258	97.5083
394	93.1009	93.529
395	89.3039	89.6485
396	85.6797	86.0217
397	82.1496	82.3952
398	78.7972	78.8487
399	75.3919	75.5375
400	72.2414	72.284
401	69.1092	69.1881
402	66.1015	66.2408
403	63.2722	63.2864
404	60.4499	60.4803
405	57.7947	57.7554
406	55.2199	55.2481
407	52.7676	52.7906
408	50.3	50.4754
409	48.0427	48.1753
410	45.8483	45.9851
411	43.8536	43.9387
412	41.8211	42.0095
413	39.9363	40.1413
414	38.0384	38.3314
415	36.2727	36.5761
416	34.5894	34.9007
417	32.9959	33.2884
418	31.4751	31.725
419	29.9498	30.2097
420	28.5854	28.7681
421	27.255	27.3962
422	25.9898	26.0648
423	24.8312	24.7919
424	23.6628	23.6233
425	22.4848	22.4269
426	21.3764	21.3538
427	20.2822	20.2936
428	19.2475	19.2527
429	18.2121	18.2267
430	17.2198	17.2551
431	16.2375	16.3753
432	15.3396	15.5233
433	14.531	14.7213
434	13.7355	13.8891
435	12.9872	13.0893
436	12.3067	12.3443
437	11.5894	11.6399
438	10.9261	10.9829
439	10.2759	10.3426
440	9.67062	9.72114
441	9.09642	9.08938
442	8.51721	8.5058
443	7.93746	7.97569
444	7.39504	7.47458
445	6.86667	6.98719
446	6.37157	6.47592
447	5.92016	5.94559
448	5.45554	5.45123
449	5.0028	5.00267
450	4.56631	4.54779
451	4.11977	4.12614
452	3.7043	3.71117
453	3.29156	3.28318
454	2.89332	2.9194
455	2.50382	2.57815
456	2.14954	2.25113
457	1.81874	1.90524
458	1.49456	1.58923
459	1.20582	1.29987
460	0.920685	0.978421
461	0.651657	0.70341
462	0.413461	0.436065
463	0.152827	0.188947
464	-0.0571271	-0.0345566
465	-0.293019	-0.243588
466	-0.484148	-0.440517
467	-0.673173	-0.661846
468	-0.876901	-0.837987
469	-1.05403	-1.01002
470	-1.23825	-1.18627
471	-1.39803	-1.36332
472	-1.5456	-1.53542
473	-1.71703	-1.68718
474	-1.8684	-1.83852
475	-2.01555	-1.97408
476	-2.15353	-2.10608
477	-2.26477	-2.25397
478	-2.40557	-2.40533
479	-2.51897	-2.52201
480	-2.63175	-2.6343
481	-2.75295	-2.74275
482	-2.87329	-2.84539
483	-2.97397	-2.95375
484	-3.0562	-3.05119
485	-3.16909	-3.14906
486	-3.24923	-3.21394
487	-3.35923	-3.30687
488	-3.44832	-3.4041
489	-3.50786	-3.47891
490	-3.57228	-3.55248
491	-3.62973	-3.61669
492	-3.70994	-3.68465
493	-3.77125	-3.73639
494	-3.82647	-3.79597
495	-3.88079	-3.85237
496	-3.91997	-3.9047
497	-3.9681	-3.95634
498	-4.02802	-4.00948
499	-4.07954	-4.06488
500	-4.12467	-4.12347
