TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/01/16
TIME	13:59:53
SPECTROMETER/DATA SYSTEM	JASCO Corp., FP-8500, Rev. 1.00
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  300.0000
LASTX	  420.0000
NPOINTS	     121
FIRSTY	   115.70488
MAXY	   475.21268
MINY	    35.59478
XYDATA
	5	24
300	115.705	115.411
301	124.435	124.385
302	133.226	133.001
303	141.981	141.897
304	150.988	151.014
305	160.275	160.285
306	169.863	169.867
307	179.813	179.519
308	190.056	189.646
309	200.8	200.119
310	211.769	211.261
311	223.215	222.987
312	234.95	234.866
313	246.86	246.903
314	259.213	258.915
315	271.423	271.314
316	284.095	283.815
317	297.078	297.173
318	310.257	310.41
319	323.279	323.476
320	336.334	336.488
321	348.755	349.09
322	360.95	361.292
323	373.159	373.318
324	384.838	384.954
325	396.168	395.894
326	406.699	406.323
327	416.457	416.292
328	426.011	425.833
329	434.511	434.691
330	442.787	442.8
331	450.03	449.793
332	456.215	455.646
333	460.943	460.891
334	464.745	465.384
335	468.169	469.083
336	470.68	472.468
337	473.126	474.574
338	474.714	475.405
339	475.213	475.74
340	474.632	474.787
341	473.42	473.117
342	471.408	471.664
343	468.682	469.045
344	465.783	466.283
345	462.251	463.092
346	458.099	458.943
347	453.893	454.977
348	449.473	449.921
349	444.592	445.036
350	439.901	439.561
351	433.675	433.414
352	427.026	427.46
353	420.244	420.568
354	413.104	413.555
355	405.986	406.257
356	398.39	398.635
357	390.292	391.014
358	381.715	383.14
359	373.37	374.899
360	364.894	366.806
361	356.518	357.761
362	347.7	348.921
363	338.798	340.014
364	330.276	330.871
365	321.505	322.21
366	312.84	313.3
367	304.326	304.678
368	295.586	295.904
369	286.534	286.887
370	278.041	278.238
371	269.525	269.83
372	260.899	261.213
373	252.524	252.917
374	244.342	244.57
375	235.869	236.349
376	227.996	228.519
377	220.689	220.875
378	212.993	212.87
379	205.417	205.586
380	198.185	198.5
381	191.063	191.243
382	184.221	184.542
383	177.594	177.77
384	171.037	171.27
385	164.418	165.002
386	158.188	158.484
387	152.202	152.269
388	146.361	146.282
389	140.76	140.597
390	135.229	135.211
391	129.919	129.964
392	124.538	124.692
393	119.562	119.515
394	114.928	114.71
395	110.117	110.048
396	105.625	105.413
397	101.195	101.223
398	96.9408	96.9908
399	92.762	92.8514
400	88.9048	88.8648
401	85.1445	84.9274
402	81.4095	81.2566
403	77.8129	77.6983
404	74.3508	74.3561
405	70.863	71.1375
406	67.5639	67.8813
407	64.5191	64.7505
408	61.6917	61.7751
409	58.7667	58.9437
410	56.255	56.3104
411	53.708	53.7832
412	51.2336	51.3587
413	49.0829	49.1213
414	47.0112	46.9328
415	44.9713	44.7037
416	42.8994	42.6993
417	40.9584	40.7179
418	39.0022	38.7559
419	37.186	36.9725
420	35.5948	35.2262
