TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/01/16
TIME	12:45:32
SPECTROMETER/DATA SYSTEM	JASCO Corp., FP-8500, Rev. 1.00
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  290.0000
LASTX	  420.0000
NPOINTS	     131
FIRSTY	    32.29254
MAXY	   508.91873
MINY	    32.29254
XYDATA
	10	110
290	32.2925	32.2423
291	40.3461	40.234
292	49.018	48.6982
293	57.8943	57.5718
294	67.0428	66.6519
295	76.2926	75.8328
296	85.6576	85.0818
297	95.0622	94.3829
298	104.419	103.708
299	113.994	113.117
300	123.593	122.687
301	133.099	132.354
302	142.558	141.958
303	152.463	151.769
304	162.348	161.708
305	172.415	171.793
306	182.906	182.128
307	193.66	192.86
308	204.698	204.032
309	216.189	215.294
310	228.055	227.02
311	240.288	239.077
312	253.026	251.446
313	265.994	264.387
314	279.276	277.603
315	292.666	291.046
316	306.484	304.53
317	320.378	318.222
318	334.168	332.042
319	348.011	345.931
320	361.494	359.723
321	374.906	372.991
322	388.159	385.934
323	400.817	398.714
324	413.081	410.962
325	424.887	422.661
326	435.983	433.928
327	446.555	444.36
328	456.48	454.29
329	465.783	463.3
330	473.792	471.847
331	481.247	479.492
332	487.991	486.017
333	493.619	491.912
334	498.568	496.68
335	502.298	500.487
336	505.16	503.417
337	507.302	505.658
338	508.456	506.777
339	508.919	507.012
340	508.602	506.361
341	507.448	505.25
342	505.45	503.323
343	502.933	500.786
344	500.05	497.782
345	496.664	494.138
346	492.741	490.025
347	488.087	485.483
348	483.23	480.652
349	477.909	475.178
350	472.06	469.422
351	465.994	463.39
352	459.308	456.604
353	452.202	449.516
354	444.635	441.833
355	436.779	434.282
356	428.663	426.143
357	420.279	417.681
358	411.454	409.068
359	402.718	400.2
360	393.733	391.37
361	384.401	382.406
362	375.16	373.336
363	365.918	364.035
364	356.532	354.616
365	346.936	345.301
366	337.558	335.938
367	328.064	326.541
368	318.504	317.108
369	309.211	307.922
370	299.877	298.551
371	290.598	289.27
372	281.359	280.163
373	272.407	271.056
374	263.569	262.117
375	254.807	253.349
376	246.125	244.946
377	237.68	236.402
378	229.487	228.278
379	221.424	220.351
380	213.491	212.679
381	205.887	205.046
382	198.561	197.718
383	191.454	190.652
384	184.478	183.581
385	177.656	176.822
386	170.939	170.172
387	164.471	163.681
388	158.186	157.514
389	152.031	151.407
390	146.109	145.587
391	140.462	139.816
392	134.865	134.364
393	129.494	128.959
394	124.376	123.75
395	119.305	118.81
396	114.377	113.85
397	109.665	109.172
398	105.111	104.661
399	100.719	100.199
400	96.4496	96.0062
401	92.334	91.8067
402	88.342	87.8987
403	84.5155	84.0991
404	80.8902	80.4658
405	77.3494	76.9021
406	74.0323	73.5045
407	70.6887	70.2665
408	67.5923	67.2151
409	64.6288	64.2299
410	61.7509	61.3944
411	58.9914	58.7108
412	56.3585	56.1294
413	53.7899	53.6437
414	51.3321	51.2423
415	49.0517	48.9523
416	46.8213	46.7226
417	44.6474	44.6295
418	42.6048	42.5637
419	40.6149	40.5926
420	38.7415	38.7144
