TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/01/16
TIME	12:53:07
SPECTROMETER/DATA SYSTEM	JASCO Corp., FP-8500, Rev. 1.00
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  230.0000
LASTX	  400.0000
NPOINTS	     171
FIRSTY	   -19.15560
MAXY	   507.45764
MINY	   -19.15560
XYDATA
	10	110
230	-19.1556	-18.9677
231	-10.9726	-10.7547
232	-2.42338	-2.07396
233	6.49078	6.91729
234	15.4636	15.8996
235	24.317	24.7036
236	32.9256	33.0228
237	41.1114	40.9978
238	48.3697	48.2979
239	55.3048	54.6923
240	61.2594	60.8416
241	66.8225	66.5769
242	72.4513	72.1951
243	77.9423	77.9252
244	83.7364	83.8732
245	89.9357	90.1332
246	97.0295	97.0551
247	104.954	105.402
248	113.842	114.085
249	123.687	123.701
250	134.049	134.142
251	145.29	145.314
252	157.575	157.414
253	170.648	170.544
254	184.733	184.692
255	199.423	199.316
256	214.485	214.528
257	230.145	230.264
258	246.246	246.552
259	263.293	263.386
260	280.603	280.641
261	298.263	298.382
262	316.083	316.123
263	333.895	334.009
264	351.729	351.754
265	369.404	369.375
266	386.824	386.743
267	403.672	403.652
268	419.252	419.423
269	434.138	434.252
270	447.318	447.488
271	458.654	459.045
272	468.964	469.32
273	477.85	478.459
274	485.676	486.179
275	492.243	492.901
276	497.828	498.473
277	502.154	502.91
278	505.374	506.191
279	507.369	507.921
280	507.458	507.879
281	505.299	505.743
282	501.089	501.56
283	495.326	495.701
284	489.12	489.456
285	482.303	482.543
286	474.068	474.189
287	462.47	462.818
288	446.854	446.775
289	425.857	425.888
290	400.109	399.738
291	369.836	369.808
292	335.822	335.699
293	298.717	298.593
294	259.674	259.636
295	221.008	220.937
296	184.678	184.72
297	152.355	152.424
298	124.629	124.834
299	101.234	101.368
300	81.6974	81.7542
301	65.3001	65.3778
302	51.6477	51.6356
303	40.2303	40.2515
304	30.8173	30.9379
305	23.2297	23.4003
306	17.1745	17.3186
307	12.4017	12.4818
308	8.65801	8.70083
309	5.81413	5.82399
310	3.67799	3.68823
311	2.11716	2.14281
312	1.00078	1.01022
313	0.195036	0.204576
314	-0.390807	-0.387499
315	-0.808864	-0.813955
316	-1.13091	-1.12042
317	-1.37032	-1.33988
318	-1.53655	-1.51932
319	-1.66452	-1.64927
320	-1.75752	-1.75614
321	-1.84669	-1.84154
322	-1.90458	-1.90652
323	-1.94438	-1.95139
324	-1.97318	-1.9873
325	-1.99162	-2.00895
326	-2.00575	-2.02349
327	-2.00501	-2.02647
328	-1.99904	-2.01229
329	-1.97545	-1.98672
330	-1.92253	-1.93743
331	-1.65998	-1.67556
332	0.0250592	-0.0321163
333	6.89852	6.75512
334	23.4374	23.0854
335	47.5755	46.9698
336	69.362	68.5175
337	81.1781	80.2868
338	84.474	83.5994
339	84.1016	83.3031
340	82.2322	81.4662
341	76.9208	76.203
342	63.8061	63.3047
343	42.3785	42.0543
344	20.1948	19.9951
345	5.53446	5.57867
346	-0.235567	-0.237922
347	-1.55451	-1.56958
348	-1.73928	-1.75489
349	-1.75323	-1.76567
350	-1.75145	-1.76155
351	-1.74552	-1.75669
352	-1.737	-1.74932
353	-1.72287	-1.73035
354	-1.71039	-1.7158
355	-1.70103	-1.7046
356	-1.68243	-1.68626
357	-1.66508	-1.67088
358	-1.65193	-1.65644
359	-1.63633	-1.64252
360	-1.62217	-1.63006
361	-1.60594	-1.61274
362	-1.58979	-1.59536
363	-1.57352	-1.5767
364	-1.55604	-1.55834
365	-1.53585	-1.53743
366	-1.51655	-1.51735
367	-1.49687	-1.49673
368	-1.4754	-1.47406
369	-1.4558	-1.45333
370	-1.43676	-1.43163
371	-1.41559	-1.41005
372	-1.39522	-1.38657
373	-1.3746	-1.36522
374	-1.3518	-1.34418
375	-1.32723	-1.32002
376	-1.30667	-1.29748
377	-1.28525	-1.27566
378	-1.26402	-1.25567
379	-1.24202	-1.23419
380	-1.21966	-1.215
381	-1.20295	-1.19868
382	-1.18826	-1.17941
383	-1.17329	-1.16346
384	-1.15596	-1.14879
385	-1.14208	-1.13377
386	-1.12513	-1.11706
387	-1.10846	-1.10129
388	-1.09201	-1.08411
389	-1.07444	-1.06381
390	-1.05541	-1.04786
391	-1.03455	-1.02662
392	-1.01492	-1.00445
393	-0.993222	-0.983811
394	-0.973824	-0.965035
395	-0.958142	-0.948263
396	-0.946487	-0.93577
397	-0.935168	-0.927988
398	-0.928123	-0.92061
399	-0.9246	-0.917934
400	-0.921379	-0.917693
