TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/01/16
TIME	13:18:09
SPECTROMETER/DATA SYSTEM	JASCO Corp., FP-8500, Rev. 1.00
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  285.0000
LASTX	  500.0000
NPOINTS	     216
FIRSTY	    44.12456
MAXY	   466.96149
MINY	    -3.82973
XYDATA
	10	110
285	44.1246	43.9299
286	31.638	31.6677
287	22.617	22.5855
288	20.5315	20.5326
289	24.2905	24.2804
290	30.7592	30.6836
291	38.2129	38.1453
292	46.1392	45.9843
293	54.2253	54.0963
294	62.4329	62.2719
295	70.6612	70.5342
296	78.9948	78.8075
297	87.4295	87.1301
298	95.8861	95.4437
299	104.442	103.813
300	112.991	112.318
301	121.53	120.846
302	130.314	129.395
303	139.087	138.06
304	148.166	146.911
305	157.47	156.086
306	166.955	165.521
307	176.725	175.347
308	186.838	185.247
309	197.263	195.537
310	207.963	206.236
311	218.893	217.105
312	230.229	228.28
313	241.919	239.791
314	253.665	251.359
315	265.95	263.418
316	278.203	275.581
317	290.835	287.943
318	303.576	300.405
319	316.316	312.762
320	329.118	325.261
321	341.548	337.588
322	353.915	349.577
323	365.973	361.234
324	377.531	372.563
325	388.607	383.299
326	398.999	393.677
327	408.893	403.464
328	418.074	412.621
329	426.551	420.682
330	434.105	428.565
331	441.075	435.342
332	447.143	441.488
333	452.487	446.571
334	456.986	450.742
335	460.556	454.161
336	463.521	456.779
337	465.427	458.905
338	466.656	459.83
339	466.961	460.042
340	466.65	459.517
341	465.677	458.625
342	463.963	457.089
343	461.735	455.007
344	458.813	452.221
345	455.631	449.05
346	451.884	445.349
347	447.664	441.517
348	443.139	437.013
349	438.065	432.028
350	432.696	426.489
351	426.995	420.997
352	421.12	415.097
353	414.774	408.646
354	407.876	401.871
355	400.742	394.668
356	393.373	387.34
357	385.524	379.657
358	377.672	371.899
359	369.466	363.724
360	361.016	355.496
361	352.448	347.246
362	344.122	338.876
363	335.615	330.36
364	327.044	321.906
365	318.535	313.396
366	310.02	304.996
367	301.436	296.501
368	292.913	287.776
369	284.494	279.287
370	275.954	270.696
371	267.531	262.467
372	259.092	254.303
373	250.788	246.269
374	242.65	238.274
375	234.688	230.338
376	226.786	222.499
377	218.993	215.072
378	211.485	207.746
379	204.144	200.566
380	196.855	193.261
381	189.827	186.234
382	183.056	179.493
383	176.224	173.04
384	169.74	166.738
385	163.51	160.571
386	157.342	154.488
387	151.327	148.547
388	145.535	142.974
389	140.018	137.519
390	134.64	132.1
391	129.266	126.942
392	124.118	121.892
393	119.112	117.007
394	114.358	112.221
395	109.61	107.702
396	105.053	103.217
397	100.695	98.9449
398	96.3302	94.7956
399	92.2618	90.7659
400	88.2943	86.8968
401	84.4588	83.142
402	80.8511	79.5853
403	77.3692	76.1126
404	73.9583	72.7274
405	70.6395	69.4897
406	67.5838	66.3957
407	64.6418	63.4355
408	61.8892	60.6454
409	59.1089	57.9438
410	56.3639	55.3219
411	53.8515	52.7931
412	51.4026	50.4187
413	49.1147	48.1445
414	46.9238	45.9787
415	44.7744	43.8548
416	42.6799	41.8864
417	40.713	39.9084
418	38.8268	38.0553
419	37.0063	36.3284
420	35.296	34.6404
421	33.6036	32.9918
422	32.0437	31.4596
423	30.4941	29.9548
424	29.0131	28.493
425	27.615	27.089
426	26.2399	25.7446
427	25.0273	24.4756
428	23.7495	23.247
429	22.5151	22.0821
430	21.424	20.9652
431	20.2781	19.8925
432	19.2558	18.846
433	18.2327	17.8702
434	17.2746	16.8558
435	16.3759	16.0067
436	15.4958	15.085
437	14.617	14.2573
438	13.8115	13.4352
439	13.0133	12.6369
440	12.3044	11.9144
441	11.5915	11.2236
442	10.9517	10.5645
443	10.2852	9.90093
444	9.65615	9.2955
445	9.07338	8.68725
446	8.50704	8.14088
447	7.93582	7.62769
448	7.37465	7.10828
449	6.82015	6.54779
450	6.28323	6.0264
451	5.72645	5.49238
452	5.2097	4.98372
453	4.73739	4.52402
454	4.26158	4.0363
455	3.79596	3.56737
456	3.35822	3.15395
457	2.95977	2.77692
458	2.58199	2.42503
459	2.2403	2.13754
460	1.92598	1.84581
461	1.59977	1.53694
462	1.28953	1.25716
463	0.991149	1.03475
464	0.722894	0.777854
465	0.471423	0.512225
466	0.234072	0.286608
467	-0.0110895	0.0240014
468	-0.22564	-0.205061
469	-0.450271	-0.440986
470	-0.636631	-0.650233
471	-0.813539	-0.853709
472	-0.996692	-1.03145
473	-1.17665	-1.20937
474	-1.34893	-1.38846
475	-1.49114	-1.57903
476	-1.62517	-1.75682
477	-1.76571	-1.88695
478	-1.89951	-2.02053
479	-2.03477	-2.17999
480	-2.16956	-2.3398
481	-2.28174	-2.46401
482	-2.42162	-2.58356
483	-2.54681	-2.68466
484	-2.68411	-2.79089
485	-2.79972	-2.90112
486	-2.91749	-3.01435
487	-3.00693	-3.11273
488	-3.10462	-3.18629
489	-3.17684	-3.26699
490	-3.25878	-3.34038
491	-3.33308	-3.41077
492	-3.3805	-3.49483
493	-3.45419	-3.53736
494	-3.51614	-3.5978
495	-3.55958	-3.65561
496	-3.62725	-3.71213
497	-3.68413	-3.77777
498	-3.73188	-3.85283
499	-3.78335	-3.92265
500	-3.82973	-3.94705
